"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-08,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,40
2018-01-08,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,40
2018-01-08,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,22
2018-01-08,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,44
2018-01-08,1,2018,"Millbrook School","Wake",35.856111,-78.574167,27,42.5
2018-01-08,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,31
2018-01-08,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,38
2018-01-09,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,78
2018-01-09,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,20
2018-01-09,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,60
2018-01-09,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,49
2018-01-09,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,53
2018-01-09,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,54
2018-01-09,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,19
2018-01-09,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,43
2018-01-09,1,2018,"Millbrook School","Wake",35.856111,-78.574167,30,35
2018-01-09,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,31
2018-01-09,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,43
2018-01-10,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,56
2018-01-10,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,14
2018-01-10,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,39
2018-01-10,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,39
2018-01-10,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,38
2018-01-10,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,32
2018-01-10,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,35
2018-01-10,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,29
2018-01-10,1,2018,"Millbrook School","Wake",35.856111,-78.574167,33,22
2018-01-10,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,37
2018-01-10,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
2018-01-11,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,17
2018-01-11,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,12
2018-01-11,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,59
2018-01-11,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,43.5
2018-01-11,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,0
2018-01-11,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,26,35
2018-01-11,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,48.5
2018-01-11,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,34
2018-01-11,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,3
2018-01-11,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,55
2018-01-11,1,2018,"Millbrook School","Wake",35.856111,-78.574167,26,23
2018-01-11,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,27.5
2018-01-11,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,41
2018-01-12,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,10
